Set #,Title in NIV,Passage,Book,Breaks,Description
,,2,PSA,37:17-17,
176,,,,,
,,1,PSA,37:18-18,
,,2,PSA,37:19-19,
177,,,,,
,,1,PSA,37:20-20,
178,,,,,
,,1,PSA,37:21-21,
,,2,PSA,37:22-22,
179,,,,,
,,1,PSA,37:23-23,
,,2,PSA,37:24-24,
180,,,,,
,,1,PSA,37:25-25,
,,2,PSA,37:26-26,
181,,,,,
,,1,PSA,37:27-27,
,,2,PSA,37:28-28,
182,,,,,
,,1,PSA,37:29-29,
183,,,,,
,,1,PSA,37:30-30,
,,2,PSA,37:31-31,
184,,,,,
,,1,PSA,37:32-32,
,,2,PSA,37:33-33,
185,,,,,
,,1,PSA,37:34-34,
186,,,,,
,,1,PSA,37:35-35,
,,2,PSA,37:36-36,
187,,,,,
,,1,PSA,37:37-37,
,,2,PSA,37:38-38,
188,,,,,
,,1,PSA,37:39-39,
,,2,PSA,37:40-40,
189,,,,,
,,1,PSA,38:1-1,
,,2,PSA,38:2-2,
,,3,PSA,38:3-3,
,,4,PSA,38:4-4,
190,,,,,
,,1,PSA,38:5-5,
,,2,PSA,38:6-6,
,,3,PSA,38:7-7,
,,4,PSA,38:8-8,
191,,,,,
,,1,PSA,38:9-9,
,,2,PSA,38:10-10,
,,3,PSA,38:11-11,
,,4,PSA,38:12-12,
192,,,,,
,,1,PSA,38:13-13,
,,2,PSA,38:14-14,
,,3,PSA,38:15-15,
,,4,PSA,38:16-16,
193,,,,,
,,1,PSA,38:17-17,
,,2,PSA,38:18-18,
,,3,PSA,38:19-19,
,,4,PSA,38:20-20,
194,,,,,
,,1,PSA,38:21-21,
,,2,PSA,38:22-22,
195,,,,,
,,1,PSA,39:1-1,
,,2,PSA,39:2-2,
,,3,PSA,39:3-3,
196,,,,,
,,1,PSA,39:4-4,
,,2,PSA,39:5-5,
,,3,PSA,39:6-6,
197,,,,,
,,1,PSA,39:7-7,
,,2,PSA,39:8-8,
,,3,PSA,39:9-9,
,,4,PSA,39:10-10,
,,5,PSA,39:11-11,
198,,,,,
,,1,PSA,39:12-12,
,,2,PSA,39:13-13,
199,,,,,
,,1,PSA,40:1-1,
,,2,PSA,40:2-2,
,,3,PSA,40:3-3,
200,,,,,
,,1,PSA,40:4-4,
,,2,PSA,40:5-5,
201,,,,,
,,1,PSA,40:6-6,
,,2,PSA,40:7-7,
,,3,PSA,40:8-8,
202,,,,,
,,1,PSA,40:9-9,
,,2,PSA,40:10-10,
203,,,,,
,,1,PSA,40:11-11,
,,2,PSA,40:12-12,
204,,,,,
,,1,PSA,40:13-13,
,,2,PSA,40:14-14,
,,3,PSA,40:15-15,
,,4,PSA,40:16-16,
205,,,,,
,,1,PSA,40:17-17,
206,,,,,
,,1,PSA,41:1-1,
,,2,PSA,41:2-2,
,,3,PSA,41:3-3,
207,,,,,
,,1,PSA,41:4-4,
,,2,PSA,41:5-5,
,,3,PSA,41:6-6,
208,,,,,
,,1,PSA,41:7-7,
,,2,PSA,41:8-8,
,,3,PSA,41:9-9,
209,,,,,
,,1,PSA,41:10-10,
,,2,PSA,41:11-11,
